               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.034296,            0.043385,           0.0023412,             0.81547,             0.77274,             0.79987,             0.47637,            0.035881,            0.018584,           0.0031446,           0.0058766,           0.0058766,           0.0058766
                  73,            0.034129,            0.043546,           0.0023646,             0.79729,             0.78964,             0.79758,             0.47937,            0.035958,            0.018581,           0.0032699,           0.0057826,           0.0057826,           0.0057826
                  74,            0.034145,            0.043374,           0.0023181,             0.81643,             0.77029,             0.79756,             0.47846,            0.035923,            0.018603,           0.0032713,           0.0056884,           0.0056884,           0.0056884
                  75,            0.033888,            0.043417,           0.0022988,             0.78492,             0.80448,             0.80163,              0.4798,            0.035564,            0.018227,           0.0031187,           0.0055942,           0.0055942,           0.0055942
                  76,            0.033907,            0.042725,           0.0023661,             0.77354,             0.80359,             0.79897,             0.47079,            0.036797,            0.018324,           0.0029868,              0.0055,              0.0055,              0.0055
                  77,            0.033885,            0.042357,           0.0022661,             0.79819,             0.80196,             0.80301,             0.48305,            0.036235,            0.018224,           0.0027928,           0.0054058,           0.0054058,           0.0054058
                  78,            0.033877,            0.043361,           0.0023223,             0.78727,              0.8166,             0.81127,             0.48173,            0.036774,            0.018158,           0.0028284,           0.0053116,           0.0053116,           0.0053116
                  79,            0.033738,            0.042758,           0.0022472,             0.76258,             0.83989,             0.81213,             0.48042,            0.037007,               0.018,           0.0030057,           0.0052174,           0.0052174,           0.0052174
                  80,            0.033548,            0.042913,           0.0022661,             0.77495,              0.8135,             0.80845,             0.47743,            0.037223,            0.018316,           0.0030155,           0.0051234,           0.0051234,           0.0051234
                  81,            0.033592,            0.042767,           0.0022194,              0.7447,             0.82832,             0.80126,             0.47978,            0.036429,             0.01874,           0.0032006,           0.0050296,           0.0050296,           0.0050296
                  82,            0.033546,            0.042508,           0.0022368,              0.7529,              0.8234,             0.79531,             0.47635,            0.036338,            0.018945,           0.0029541,            0.004936,            0.004936,            0.004936
                  83,            0.033152,             0.04202,           0.0021097,             0.77294,             0.81636,             0.79517,              0.4792,            0.036379,             0.01888,           0.0027296,           0.0048426,           0.0048426,           0.0048426
                  84,              0.0331,            0.042113,           0.0022352,             0.77983,             0.80137,             0.79481,              0.4778,            0.036494,             0.01877,           0.0027914,           0.0047495,           0.0047495,           0.0047495
                  85,            0.033139,            0.042146,            0.002174,             0.77311,             0.80908,             0.78915,             0.47715,            0.036397,            0.018727,            0.002805,           0.0046568,           0.0046568,           0.0046568
                  86,            0.033294,            0.041512,           0.0022009,             0.78924,             0.79787,             0.79461,             0.47704,            0.036406,            0.018696,           0.0027489,           0.0045644,           0.0045644,           0.0045644
                  87,            0.032794,            0.041632,           0.0021291,             0.78498,             0.79482,             0.78931,             0.47516,            0.036624,            0.018717,           0.0027553,           0.0044724,           0.0044724,           0.0044724
                  88,            0.032766,             0.04143,           0.0020899,             0.77013,             0.81178,             0.79216,              0.4732,            0.036698,            0.018837,           0.0027261,           0.0043809,           0.0043809,           0.0043809
                  89,            0.032987,            0.041757,           0.0021004,             0.73954,             0.80673,             0.78721,              0.4706,             0.03654,             0.01917,           0.0030583,           0.0042899,           0.0042899,           0.0042899
                  90,            0.032671,            0.041755,           0.0020511,             0.73834,             0.81939,             0.78362,             0.46867,            0.036847,            0.019321,           0.0031785,           0.0041994,           0.0041994,           0.0041994
                  91,            0.032537,            0.040854,           0.0021105,             0.72805,              0.8284,             0.78278,             0.47136,             0.03725,            0.019281,           0.0031868,           0.0041094,           0.0041094,           0.0041094
                  92,            0.032423,            0.040998,           0.0020353,             0.76836,             0.77539,             0.78199,             0.47426,             0.03706,            0.019246,           0.0032512,           0.0040201,           0.0040201,           0.0040201
                  93,            0.032289,            0.040757,           0.0020336,             0.74769,             0.79754,             0.78679,             0.47532,            0.036919,            0.019169,           0.0031219,           0.0039314,           0.0039314,           0.0039314
                  94,            0.032061,            0.041019,           0.0020373,             0.74617,             0.80908,             0.78633,             0.47695,            0.036919,            0.019168,           0.0030904,           0.0038434,           0.0038434,           0.0038434
                  95,            0.032219,            0.040605,           0.0020514,             0.78007,             0.78642,             0.78439,             0.47208,            0.037056,            0.019203,           0.0029489,           0.0037562,           0.0037562,           0.0037562
                  96,            0.032059,            0.040205,           0.0020787,             0.77089,             0.79433,             0.78815,             0.47493,            0.036961,            0.019129,           0.0030232,           0.0036697,           0.0036697,           0.0036697
                  97,            0.032113,            0.040896,           0.0020459,             0.76988,             0.79476,             0.78805,             0.47957,            0.036637,            0.019081,            0.003024,            0.003584,            0.003584,            0.003584
                  98,            0.031821,            0.040454,           0.0019919,             0.77344,             0.79722,             0.79021,             0.48085,            0.036338,            0.019138,           0.0028976,           0.0034991,           0.0034991,           0.0034991
                  99,            0.031576,            0.040037,           0.0019756,             0.77377,             0.78866,             0.79087,              0.4774,            0.036271,            0.019208,           0.0027719,           0.0034152,           0.0034152,           0.0034152
                 100,              0.0316,            0.039806,            0.001914,             0.77952,             0.78857,             0.79076,             0.47698,             0.03606,            0.019368,           0.0027723,           0.0033321,           0.0033321,           0.0033321
                 101,            0.031592,            0.040212,           0.0020362,             0.77953,             0.78966,             0.79018,             0.47613,            0.036061,            0.019441,            0.002871,             0.00325,             0.00325,             0.00325
                 102,            0.031523,            0.040169,            0.001921,             0.78281,             0.78535,             0.79289,             0.47562,            0.036051,              0.0194,           0.0029152,           0.0031689,           0.0031689,           0.0031689
                 103,            0.031255,            0.039547,           0.0017774,             0.77814,             0.79305,             0.79516,             0.47578,            0.036008,              0.0195,           0.0029136,           0.0030888,           0.0030888,           0.0030888
                 104,            0.031325,            0.039871,           0.0019996,             0.76931,             0.78315,             0.79478,             0.47318,            0.036088,            0.019548,           0.0029477,           0.0030097,           0.0030097,           0.0030097
                 105,            0.031241,             0.03912,           0.0018623,             0.75396,             0.80354,             0.79711,             0.47616,            0.036181,            0.019511,           0.0029761,           0.0029318,           0.0029318,           0.0029318
                 106,            0.031062,            0.039164,            0.001883,              0.7746,             0.78691,             0.79403,             0.47761,            0.036312,             0.01952,           0.0029836,            0.002855,            0.002855,            0.002855
                 107,             0.03071,             0.03932,           0.0018711,             0.77319,             0.78787,             0.79371,             0.47769,            0.036427,            0.019509,           0.0030411,           0.0027793,           0.0027793,           0.0027793
                 108,            0.031014,            0.039718,            0.001841,             0.76994,             0.78274,             0.79304,             0.47869,             0.03651,            0.019497,           0.0030693,           0.0027048,           0.0027048,           0.0027048
                 109,            0.030631,            0.039062,           0.0017841,             0.78044,             0.77463,             0.79417,             0.47652,             0.03648,             0.01957,            0.003089,           0.0026316,           0.0026316,           0.0026316
                 110,            0.030435,            0.039032,           0.0017433,             0.75547,             0.79633,             0.79401,             0.47562,            0.036632,            0.019606,           0.0030934,           0.0025596,           0.0025596,           0.0025596
                 111,            0.030422,             0.03849,           0.0016977,             0.76419,             0.79325,             0.78852,             0.47377,            0.036744,            0.019627,           0.0030909,           0.0024889,           0.0024889,           0.0024889
                 112,            0.030568,             0.03873,           0.0017129,              0.7625,             0.79396,             0.79056,             0.47558,            0.036862,            0.019657,           0.0030774,           0.0024195,           0.0024195,           0.0024195
                 113,            0.030488,            0.038681,           0.0018057,             0.76526,             0.78315,             0.79232,             0.47642,            0.036785,              0.0197,           0.0030331,           0.0023515,           0.0023515,           0.0023515
                 114,             0.03057,            0.038786,           0.0018009,             0.78167,             0.77497,             0.79326,             0.47727,            0.036702,             0.01972,           0.0030326,           0.0022849,           0.0022849,           0.0022849
                 115,            0.030268,            0.038044,           0.0017122,             0.77321,             0.78585,             0.79447,             0.47716,            0.036617,             0.01968,           0.0030417,           0.0022196,           0.0022196,           0.0022196
                 116,             0.03024,            0.038262,           0.0016918,             0.79301,             0.76889,             0.79675,             0.47707,            0.036568,            0.019652,           0.0030531,           0.0021558,           0.0021558,           0.0021558
                 117,            0.030116,            0.037738,           0.0016949,             0.77605,             0.78546,              0.7957,             0.47881,            0.036605,            0.019678,           0.0030973,           0.0020935,           0.0020935,           0.0020935
                 118,            0.030112,            0.038028,           0.0017869,             0.75378,             0.80917,             0.79498,             0.47938,            0.036623,            0.019713,           0.0031431,           0.0020327,           0.0020327,           0.0020327
                 119,            0.029934,            0.037988,           0.0017666,             0.74605,              0.8118,             0.79389,             0.47871,            0.036605,            0.019746,           0.0031423,           0.0019734,           0.0019734,           0.0019734
                 120,            0.029808,            0.038051,           0.0016546,             0.74776,              0.8174,             0.79687,             0.47991,            0.036618,            0.019759,           0.0031317,           0.0019156,           0.0019156,           0.0019156
                 121,            0.029704,            0.037861,           0.0016672,             0.76513,             0.79362,             0.79704,             0.48038,            0.036574,            0.019785,           0.0031228,           0.0018594,           0.0018594,           0.0018594
                 122,            0.029612,            0.037733,           0.0016267,             0.76583,             0.79458,             0.79641,             0.48189,            0.036586,            0.019785,           0.0030923,           0.0018048,           0.0018048,           0.0018048
